property_type,state,lat,lon,area_m2,price_mxn
house,Veracruz de Ignacio de la Llave,20.9638852,-97.4124504,88.0,850000.0
apartment,Distrito Federal,19.4034054,-99.1825418,120.0,3976910.0
house,Querétaro,20.3951106,-99.9856344,180.0,1400000.0
house,Estado de México,19.536936,-99.22732,270.0,3500000.0
apartment,Distrito Federal,19.453142,-99.180214,68.0,1000000.0
house,Veracruz de Ignacio de la Llave,19.1496682663,-96.1202859879,150.0,1350000.0
house,Distrito Federal,19.3434214,-99.1294848,280.0,5980000.0
house,Hidalgo,20.099826,-98.772656,140.0,985000.0
house,Distrito Federal,19.473623,-99.124863,147.0,2325966.0
house,Querétaro,,,279.0,3151000.0
apartment,Querétaro,20.5835963,-100.3729496,144.0,3045000.0
house,Puebla,23.634501,-102.552788,173.0,2650000.0
house,Querétaro,20.5878757635,-100.4464960098,111.0,1324000.0
house,Colima,19.232695,-103.696887,189.0,1200000.0
apartment,Baja California,32.440475,-116.983772,70.0,689000.0
house,Veracruz de Ignacio de la Llave,19.513165,-96.898109,130.0,2250000.0
house,Hidalgo,23.634501,-102.552784,140.0,1500000.0
house,Chihuahua,28.6983446,-106.0940375,350.0,4400000.0
house,Sinaloa,24.770091,-107.444782,155.0,1450000.0
house,Chiapas,,,200.0,1150000.0
house,Tamaulipas,26.078394,-98.325452,80.0,850000.0
house,Sonora,28.9547958912,-111.0455946252,206.0,1650000.0
house,Nuevo León,25.626854,-100.188538,170.0,1500000.0
house,Querétaro,20.662301,-100.441093,235.0,2500000.0
apartment,Yucatán,,,202.0,3999000.0
apartment,Quintana Roo,21.0498059839,-86.8535878365,178.0,3906000.0
house,Chiapas,16.740425,-93.12841,170.0,1800000.0
house,Chiapas,,,180.0,2200000.0
apartment,Distrito Federal,19.395097,-99.150424,65.0,1008953.0
house,Puebla,,,189.0,2750000.0
apartment,Morelos,18.960824,-99.268107,92.0,1100000.0
house,Querétaro,20.7037,-100.462857,220.0,3200000.0
house,Chihuahua,28.64073,-106.109581,300.0,3750000.0
apartment,Distrito Federal,19.305233,-99.12269,75.0,905000.0
apartment,Estado de México,19.379597,-99.293808,80.0,3170400.0
house,Estado de México,19.2618397109,-99.5839350622,195.0,2600000.0
apartment,Distrito Federal,19.2753576,-99.1675547,101.0,3295000.0
house,Durango,25.553129,-103.510059,187.0,800000.0
apartment,Morelos,18.93409,-99.254997,130.0,1800000.0
house,Distrito Federal,19.346687,-99.011513,115.0,1695000.0
house,Guerrero,16.838398,-99.897744,113.0,1850000.0
house,Colima,,,96.0,910000.0
house,Estado de México,19.482168,-99.264038,140.0,646413.0
house,Baja California,,,86.0,1042540.0
house,Sinaloa,24.8427771,-107.3931108,117.0,900000.0
house,Quintana Roo,21.101317,-86.862888,182.0,2550000.0
house,Querétaro,,,200.0,2400000.0
house,Quintana Roo,21.164147,-86.868479,330.0,3761660.0
house,Morelos,,,110.0,1663550.0
apartment,Nuevo León,25.647146,-100.356804,100.0,3800000.0
house,Nuevo León,25.6442345726,-100.2966356277,228.0,2700000.0
house,Sonora,29.0904798,-110.9747137,298.0,3500000.0
house,Yucatán,,,271.0,2380000.0
house,Baja California Sur,24.1596323322,-110.3057599068,96.0,1250000.0
house,Jalisco,20.784784,-103.471496,79.0,780000.0
house,Tamaulipas,22.2465535,-97.8721436,109.0,1500000.0
house,Estado de México,19.569101,-99.303513,180.0,4780000.0
house,Nuevo León,,,160.0,1330000.0
house,Yucatán,21.039522,-89.563911,214.0,2240000.0
house,Querétaro,20.555649,-100.38488,325.0,3920000.0
apartment,Distrito Federal,19.405298,-99.164986,74.0,4280000.0
apartment,Distrito Federal,19.258038,-99.161589,160.0,2800000.0
house,Morelos,18.823669,-99.227295,165.0,1650000.0
apartment,Distrito Federal,19.377171,-99.188503,75.0,2028000.0
house,Yucatán,21.017197,-89.574516,206.0,2160500.0
house,Morelos,18.892714,-99.1996,90.0,1100000.0
house,Estado de México,19.636706,-99.101569,250.0,2500000.0
house,Yucatán,21.039522,-89.563911,274.0,2895000.0
house,Veracruz de Ignacio de la Llave,,,195.0,2300000.0
house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,235.0,3150000.0
house,Yucatán,21.0767191798,-89.6277563274,155.0,1290000.0
apartment,Distrito Federal,19.401509,-99.154034,90.0,2211668.0
apartment,Morelos,,,83.0,1100000.0
house,Tabasco,18.072582,-93.165413,350.0,1260000.0
house,Chiapas,,,95.0,1210000.0
house,Veracruz de Ignacio de la Llave,,,100.0,700000.0
house,Estado de México,,,210.0,4400000.0
house,Hidalgo,,,130.0,1280000.0
house,Yucatán,21.072905,-89.65963,190.0,1850000.0
house,Tamaulipas,22.247913,-97.875565,263.0,2420000.0
house,San Luis Potosí,22.148722,-101.00119,190.0,2200000.0
house,Baja California,32.494743,-117.016784,92.0,980000.0
house,San Luis Potosí,22.1897892283,-100.9525537491,138.0,950000.0
house,Puebla,18.962954561,-98.2796788216,222.0,2880000.0
house,Morelos,18.8859084,-99.19064,110.0,1650000.0
house,Chihuahua,28.643902,-106.130157,355.0,4950000.0
apartment,Distrito Federal,19.347683,-99.165877,135.0,4500000.0
apartment,Distrito Federal,19.375374,-99.137657,110.0,1480000.0
house,Distrito Federal,19.52395,-99.152881,95.0,2805000.0
house,Guerrero,16.757619,-99.767532,140.0,2750000.0
house,Yucatán,21.075163,-89.516731,197.0,1730000.0
house,Puebla,19.02038,-98.207626,380.0,3900000.0
house,Aguascalientes,21.9243493,-102.2833909,140.0,680000.0
house,Quintana Roo,21.1351429,-86.837489,80.0,850000.0
apartment,Distrito Federal,19.39365,-99.14769,75.0,2992300.0
house,Nuevo León,25.733049,-100.22847,200.0,1320000.0
house,Baja California Sur,24.141701,-110.347267,275.0,3500000.0
house,Jalisco,20.579091,-103.430379,164.0,1650000.0
house,Nuevo León,25.731798,-100.349091,180.0,1410453.0
house,Estado de México,19.672207,-99.015656,122.0,2650000.0
apartment,Estado de México,19.401066,-99.277168,190.0,5800000.0
house,Yucatán,21.00227,-89.5650908,131.0,1322000.0
house,Quintana Roo,20.680066,-87.038345,208.0,3360000.0
apartment,Guerrero,16.864830635,-99.8752605915,61.0,850000.0
house,Jalisco,20.760167,-103.379168,83.0,850000.0
house,Estado de México,,,260.0,3950000.0
house,Yucatán,21.0283803657,-89.564639926,174.0,675000.0
house,Tlaxcala,19.341597,-98.215828,180.0,3200000.0
house,Veracruz de Ignacio de la Llave,25.596904,-103.4203,118.0,850000.0
house,Chiapas,19.665554,-101.235738,115.0,1475000.0
house,Nuevo León,,,198.0,3360000.0
house,Sinaloa,,,159.0,1720000.0
house,Estado de México,19.650003,-99.220367,245.0,1900000.0
house,Nuevo León,25.7708161,-100.4340179,100.0,1150000.0
house,Tamaulipas,22.2331041,-97.861099,130.0,1750000.0
house,Nuevo León,25.723276,-100.401518,278.0,4570000.0
house,Puebla,19.044477,-98.328011,260.0,4500000.0
house,Estado de México,19.562922,-99.254974,120.0,870000.0
apartment,Nuevo León,25.580088,-100.239685,130.0,1980000.0
house,Puebla,19.055344,-98.212046,146.0,1450000.0
house,Morelos,23.634501,-102.552788,290.0,4200000.0
apartment,Distrito Federal,19.34189,-99.166374,80.0,1855900.0
house,Estado de México,19.404718,-99.263313,139.0,4800000.0
house,Querétaro,20.675023,-100.457086,304.0,5200000.0
house,Puebla,,,252.0,2484000.0
house,Estado de México,19.532259,-99.23214,220.0,3876000.0
house,Tamaulipas,22.313122,-97.858559,193.0,950000.0
house,Tamaulipas,22.2927530261,-97.8906248519,88.0,1150000.0
house,Morelos,18.864874,-98.925911,130.0,1650000.0
house,Querétaro,20.726007,-100.442642,290.0,3790000.0
apartment,Distrito Federal,,,120.0,5250000.0
house,Nayarit,20.7204378,-105.2706825,152.0,1250000.0
house,Veracruz de Ignacio de la Llave,19.1368849,-96.1093008,130.0,1100000.0
apartment,Estado de México,19.291351,-99.668945,85.0,912000.0
apartment,Morelos,18.9242095,-99.2215659,80.0,750000.0
apartment,Quintana Roo,21.152496,-86.869834,99.0,2800000.0
house,Puebla,19.027103,-98.270025,166.0,1580000.0
house,Nuevo León,25.56551,-100.223213,350.0,4250000.0
house,Nuevo León,,,210.0,1300000.0
house,Morelos,18.813505,-98.953514,140.0,1200000.0
house,Yucatán,21.039522,-89.563911,253.0,2285000.0
house,Morelos,18.804409,-98.959038,230.0,1250000.0
house,Guerrero,,,180.0,950000.0
house,Nuevo León,25.584658,-100.257912,350.0,4990000.0
house,Estado de México,19.225745,-99.567856,270.0,3950000.0
house,Jalisco,20.763189,-103.389053,95.0,1550000.0
house,Distrito Federal,19.383512,-99.084804,115.0,1790000.0
house,Jalisco,20.6460186,-105.2267944,160.0,2400000.0
apartment,Distrito Federal,19.367025,-99.170349,85.0,3150000.0
house,San Luis Potosí,,,350.0,4850000.0
house,Querétaro,,,230.0,2550000.0
house,Querétaro,20.604974,-100.409786,110.0,990000.0
house,Aguascalientes,21.93248,-102.297005,305.0,3650000.0
house,Puebla,,,267.0,3350000.0
house,San Luis Potosí,22.133745,-101.016029,126.0,2149000.0
apartment,Puebla,19.054064,-98.245911,87.0,892500.0
house,Puebla,19.0303511,-98.3143192,122.0,2160000.0
house,Morelos,18.947784,-99.201675,300.0,4600000.0
house,Veracruz de Ignacio de la Llave,,,233.0,1650000.0
apartment,Distrito Federal,19.3418937,-99.2245237,145.0,4650000.0
house,Estado de México,,,96.0,970000.0
house,Veracruz de Ignacio de la Llave,20.963127,-97.385071,200.0,3500000.0
house,Estado de México,19.550089,-99.214828,87.0,969000.0
house,Baja California,,,101.0,1208661.0
house,Tamaulipas,22.307415,-97.859846,61.0,640000.0
house,Morelos,18.8879389,-99.0247871,76.0,1300000.0
house,Yucatán,21.030668,-89.599258,144.0,1649000.0
apartment,Veracruz de Ignacio de la Llave,19.1028372114,-96.1112308502,160.0,1750000.0
house,Distrito Federal,19.353592,-99.177275,360.0,4386000.0
house,Yucatán,,,223.0,2350440.0
house,Estado de México,,,196.0,1030000.0
house,Yucatán,21.0114451792,-89.5797729492,222.0,2150000.0
house,Estado de México,19.263756,-99.540924,134.0,1750000.0
house,Estado de México,19.415097,-98.918523,85.0,940000.0
house,Distrito Federal,19.471368,-99.08649,280.0,2680000.0
house,Querétaro,,,217.0,3000000.0
house,Veracruz de Ignacio de la Llave,19.125807,-96.104954,251.0,2650000.0
house,Distrito Federal,19.414261,-99.104118,167.0,4500000.0
house,Baja California,32.469454,-117.003688,93.0,1699000.0
house,Estado de México,19.5224961,-99.255074,230.0,4326000.0
house,Yucatán,21.039522,-89.563911,181.0,1860000.0
house,Quintana Roo,20.6295586,-87.0738851,143.0,2430000.0
house,Veracruz de Ignacio de la Llave,19.17078,-96.12487,380.0,4500000.0
house,Chiapas,16.756552,-93.181732,326.0,3652132.0
house,Querétaro,20.5745579,-100.4129676,160.0,3700000.0
house,Jalisco,20.62192,-103.259237,250.0,2100000.0
apartment,Yucatán,21.0633485156,-89.6130359243,60.0,889000.0
house,Nuevo León,25.749624,-100.304192,172.0,2300000.0
house,Puebla,19.036623,-98.190544,204.0,1500000.0
house,Distrito Federal,19.358008,-99.127094,95.0,1922000.0
house,Chiapas,19.701565,-101.270798,250.0,1200000.0
apartment,Distrito Federal,19.415143,-99.14685,70.0,692000.0
house,Veracruz de Ignacio de la Llave,18.1479784,-94.4626507,157.0,2300000.0
apartment,Puebla,,,180.0,3790000.0
apartment,Guerrero,16.794599,-99.83012,230.0,3950000.0
house,Querétaro,20.594322,-100.365929,298.0,3300000.0
house,Morelos,18.919898,-98.978835,190.0,1850000.0
house,Veracruz de Ignacio de la Llave,19.074387,-96.086259,245.0,2875000.0
house,Guerrero,16.758724,-99.767563,142.0,1900000.0
house,Chiapas,,,122.0,1650000.0
house,Estado de México,19.650003,-99.220367,132.0,2605000.0
house,Estado de México,19.72876,-99.461708,90.0,1335000.0
apartment,Puebla,,,135.0,2400000.0
house,Jalisco,23.634501,-102.552788,127.0,1600000.0
house,Yucatán,20.999449,-89.6334,300.0,4350000.0
house,Yucatán,21.0411724,-89.5550539,215.0,1865085.0
house,Chihuahua,,,160.0,970000.0
house,Puebla,19.105051,-98.243682,170.0,1850000.0
apartment,Yucatán,21.0381057,-89.5933722,186.0,2826054.0
house,Veracruz de Ignacio de la Llave,19.136782,-96.123543,210.0,1700000.0
house,Baja California,32.63496,-115.391907,110.0,1950000.0
house,Yucatán,21.039522,-89.563911,223.0,2392607.0
house,Veracruz de Ignacio de la Llave,25.535009,-103.302429,350.0,800000.0
house,Nayarit,20.7053975,-105.2684878,101.0,1250000.0
house,Veracruz de Ignacio de la Llave,25.659972,-103.366303,170.0,940000.0
house,Tamaulipas,22.2722052,-97.8476749,214.0,2450000.0
house,Morelos,18.867191,-99.180214,184.0,1650000.0
house,Querétaro,20.6962084,-100.4506587,120.0,1450000.0
house,Querétaro,,,184.0,1750000.0
apartment,Guerrero,,,145.0,2700000.0
house,Baja California Sur,,,174.0,1550000.0
house,Distrito Federal,19.285162,-99.194185,150.0,2090000.0
house,Estado de México,19.497893,-99.244125,250.0,4450000.0
apartment,Guerrero,23.634501,-102.552788,170.0,3000000.0
house,Veracruz de Ignacio de la Llave,,,122.0,794000.0
house,Puebla,,,190.0,2550000.0
house,Sonora,23.634501,-102.552788,383.0,3500000.0
house,Querétaro,20.389062,-99.957622,95.0,930000.0
apartment,Guerrero,16.828667,-99.858981,137.0,1850000.0
house,Querétaro,20.705742,-100.444016,258.0,4000000.0
apartment,Distrito Federal,19.35782,-99.149406,80.0,1295000.0
house,Morelos,18.864874,-98.925911,121.0,1250000.0
house,Distrito Federal,19.342911,-99.224472,120.0,3267032.0
house,Estado de México,23.634501,-102.552788,228.0,2831000.0
house,Sonora,29.063726,-110.976746,102.0,1100000.0
house,Nuevo León,25.801826,-100.196945,190.0,1990000.0
house,Querétaro,20.5951924,-100.3479663,180.0,2280000.0
house,Puebla,19.059084,-98.286095,165.0,1800000.0
house,Estado de México,23.634501,-102.552788,150.0,672000.0
apartment,Querétaro,20.726007,-100.442642,135.0,2200000.0
house,Yucatán,21.0278699,-89.5880314,240.0,3500000.0
house,Morelos,18.9147310938,-98.9408111572,140.0,2250000.0
house,Yucatán,20.968147,-89.629875,70.0,1500000.0
house,Nuevo León,25.674595,-100.463539,234.0,2150000.0
house,Querétaro,,,140.0,797340.0
house,Yucatán,21.039522,-89.563911,220.0,2250000.0
house,Morelos,18.850763,-98.943855,160.0,1600000.0
house,Querétaro,20.726007,-100.442642,250.0,3700000.0
house,Yucatán,,,200.0,1735000.0
apartment,Puebla,19.056689,-98.237817,120.0,2200000.0
house,Tamaulipas,22.270658,-97.849037,380.0,5000000.0
house,Jalisco,20.748312,-103.429504,96.0,1475000.0
house,Puebla,,,240.0,2700000.0
house,San Luis Potosí,,,237.0,3050000.0
house,Querétaro,20.614635,-100.416756,139.0,1750000.0
house,San Luis Potosí,22.1529880008,-100.9653639793,250.0,2200000.0
house,Yucatán,21.039522,-89.563911,220.0,1790000.0
house,Veracruz de Ignacio de la Llave,,,160.0,900000.0
house,Nuevo León,25.723516,-100.393311,290.0,3444000.0
house,Veracruz de Ignacio de la Llave,19.563767,-96.938694,300.0,4350000.0
apartment,Distrito Federal,19.474885,-99.188231,92.0,1350000.0
house,Morelos,18.8624622,-99.2120335,261.0,4200000.0
house,Estado de México,19.508698,-98.875664,260.0,851000.0
house,Yucatán,20.968791,-89.5857147,228.0,1264000.0
house,Puebla,,,151.0,1764000.0
apartment,Estado de México,19.3735635,-99.2965778,126.0,2700000.0
house,Querétaro,,,180.0,2090000.0
house,Tamaulipas,22.2453265,-97.8431699,131.0,1400000.0
apartment,Distrito Federal,19.303392,-99.243225,80.0,996137.0
apartment,Guerrero,16.794434,-99.830807,256.0,5835416.0
house,Tamaulipas,22.300137,-97.897331,111.0,1200000.0
house,Jalisco,20.749051,-103.66731,300.0,2800000.0
house,Veracruz de Ignacio de la Llave,26.847851,-101.424133,160.0,1273500.0
house,Baja California,23.634501,-102.552788,115.0,810000.0
apartment,Puebla,19.02038,-98.207626,219.0,1925000.0
house,Hidalgo,20.0519991,-98.755252,110.0,850000.0
house,Yucatán,21.0634817,-89.6110378,250.0,2250000.0
house,Distrito Federal,19.399652,-99.16127,235.0,3900000.0
house,Durango,24.043295,-104.636917,350.0,4500000.0
house,Estado de México,,,130.0,1550000.0
house,Veracruz de Ignacio de la Llave,25.551631,-103.432737,236.0,750000.0
house,Querétaro,20.574251,-100.388476,195.0,1200000.0
apartment,Distrito Federal,19.482603,-99.194748,60.0,1500000.0
house,Morelos,18.953268,-99.224525,201.0,1500000.0
apartment,Morelos,18.891611,-99.221756,93.0,940000.0
apartment,San Luis Potosí,22.1441622,-101.0358237,160.0,1699000.0
house,Estado de México,19.2693686,-99.6021262,250.0,5600000.0
house,Distrito Federal,,,261.0,4428050.0
house,Estado de México,,,115.0,1990000.0
house,Yucatán,21.0749983,-89.5195181,242.0,1935800.0
house,Puebla,18.462721,-97.414111,250.0,2750000.0
house,Estado de México,19.595285,-99.050201,120.0,700000.0
house,Sonora,27.934649,-110.94401,134.0,1100000.0
house,Sinaloa,24.7911916858,-107.3835468292,300.0,2750000.0
house,Distrito Federal,19.500286,-99.122093,180.0,2250000.0
house,Yucatán,21.072905,-89.65963,253.0,2100000.0
house,Tlaxcala,19.4171734,-98.1434147,140.0,850000.0
house,Baja California,,,106.0,1278000.0
house,Yucatán,21.008295,-89.591019,250.0,3006000.0
house,Morelos,18.864482,-98.928802,121.0,1250000.0
house,Distrito Federal,19.366935,-99.077541,208.0,1464700.0
house,San Luis Potosí,23.634501,-102.552788,198.0,2100000.0
house,Chiapas,16.757278,-93.134056,255.0,3135831.0
house,Yucatán,,,270.0,2524500.0
house,Nayarit,20.697244,-105.274384,160.0,2950000.0
house,Morelos,,,234.0,4750000.0
house,Puebla,19.02038,-98.207626,330.0,3500000.0
house,Quintana Roo,21.1773896,-86.8179603,290.0,2250000.0
house,Guerrero,16.855229,-99.918871,150.0,1100000.0
house,Tabasco,17.97423,-92.923836,110.0,1050000.0
house,Chihuahua,,,182.0,1840000.0
house,Distrito Federal,19.313719,-99.231792,300.0,1970000.0
house,Durango,25.5897299138,-103.4631872177,118.0,950000.0
house,Quintana Roo,21.161908,-86.8515279,204.0,2990000.0
house,Yucatán,21.03071,-89.618103,131.0,1350000.0
apartment,Distrito Federal,19.39912,-99.141464,74.0,3332000.0
house,Yucatán,21.0563227206,-89.66288656,220.0,2000000.0
house,Estado de México,19.5139313,-99.2281847,160.0,2021000.0
house,Querétaro,20.598278,-100.33121,140.0,1760000.0
house,Sinaloa,23.270559,-106.389061,158.0,1350000.0
house,Baja California Sur,23.634501,-102.552788,80.0,950000.0
house,Veracruz de Ignacio de la Llave,,,165.0,1840000.0
apartment,Guerrero,16.8595223103,-99.8628473282,142.0,2100000.0
house,Morelos,18.884224,-98.982506,150.0,880000.0
house,Morelos,18.862602,-99.213448,160.0,1960000.0
apartment,Distrito Federal,19.40012,-99.1532,84.0,1774000.0
house,Veracruz de Ignacio de la Llave,25.55617,-103.481529,307.0,2100000.0
house,Veracruz de Ignacio de la Llave,25.573046,-103.443045,200.0,680000.0
house,Morelos,18.858107,-99.200287,105.0,1379000.0
house,Estado de México,,,135.0,2300000.0
house,Chihuahua,28.6569304,-106.0919272,115.0,1300000.0
house,Veracruz de Ignacio de la Llave,28.684125,-100.541089,160.0,850000.0
house,Tamaulipas,22.254078,-97.824554,140.0,1150000.0
house,Chiapas,16.766455,-93.111488,240.0,1280000.0
house,Veracruz de Ignacio de la Llave,,,340.0,4250000.0
house,Jalisco,,,100.0,1470000.0
house,Querétaro,20.545198,-100.407191,140.0,1050000.0
house,San Luis Potosí,22.1877427607,-100.9580844641,200.0,1285000.0
