property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.957177,-97.410652",350.0,115910.26
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,155.0,86932.69
house,|México|Nuevo León|Apodaca|,"25.7815621,-100.1875974",108.0,35036.51
house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",162.0,83226.17
house,|México|Puebla|San Andrés Cholula|Lomas de Angelópolis|,,280.0,173865.39
house,|México|Querétaro|Corregidora|,"20.543838,-100.412211",145.0,115910.26
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1564195,-96.111619",190.0,124633.08
house,|México|Estado de México|Atizapán de Zaragoza|Ciudad Adolfo López Mateos|Bosque Esmeralda|,,250.0,315592.03
house,|México|Distrito Federal|Xochimilco|San Juan Tepepan|,"19.275725,-99.129684",80.0,132559.19
house,|México|Morelos|Yautepec|,"18.90666,-98.965851",330.0,184402.69
apartment,|México|Distrito Federal|Iztapalapa|,"19.342083,-99.0532159",83.0,52574.87
house,|México|Querétaro|Querétaro|,"20.570164,-100.363823",135.0,78521.47
house,|México|Morelos|Cuernavaca|,"18.926468,-99.214211",340.0,289775.66
apartment,|México|Distrito Federal|Benito Juárez|,"19.368553,-99.178235",174.0,89430.16
house,|México|Querétaro|Querétaro|,"20.5828187131,-100.417855382",93.0,59022.85
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.427607,-99.160835",102.0,177267.41
house,|México|Chiapas|Tuxtla Gutiérrez|Tuxtla Gutiérrez|San Pedro Progresivo|,"16.770111,-93.08167",144.0,71126.75
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.460046,-99.140495",70.0,79029.72
house,|México|Morelos|Atlatlahucan|Fraccionamiento Lomas de Cocoyoc|,"18.9015371,-98.9336558",200.0,123842.59
house,|México|Puebla|San Andrés Cholula|San Andrés Cholula|Lomas de Angelópolis II|,,263.0,273969.71
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.748295,-93.084284",140.0,84298.37
apartment,|México|Querétaro|Querétaro|,,225.0,141288.6
house,|México|Querétaro|Corregidora|,"20.5198184,-100.3933074",123.0,85178.23
house,|México|Morelos|Jiutepec|,"18.890867,-99.177444",150.0,86932.69
house,|México|Estado de México|Tecámac|Tecamac de Felipe Villanueva|Norchuca|,"19.682383,-98.984458",74.0,33350.54
house,|México|Querétaro|Querétaro|,"20.582091,-100.391196",300.0,237089.17
apartment,|México|Puebla|Puebla|,"19.0733273,-98.2658243",164.0,184446.42
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.161908,-86.8515279",220.0,136984.85
apartment,|México|Morelos|Cuernavaca|,"18.949474,-99.232381",129.0,137017.34
house,|México|Morelos|Xochitepec|Atlacholoaya|,"18.795519,-99.231445",71.0,36353.67
house,|México|Estado de México|Naucalpan de Juárez|,,300.0,245050.24
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.484016,-100.966568",290.0,115910.26
house,|México|Querétaro|Corregidora|,"20.536322,-100.436844",280.0,205477.28
house,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.343424,-99.135933",182.0,68492.42
house,|México|Colima|Villa de Álvarez|,"19.274727,-103.74485",329.0,104343.97
house,|México|Querétaro|Corregidora|,"20.5412697,-100.3997814",110.0,59022.85
house,|México|Nuevo León|San Nicolás de los Garza|,"25.7296370244,-100.2941036224",310.0,237145.4
house,|México|Puebla|Puebla|,,180.0,123813.23
house,|México|Morelos|Cuautla|,"18.835054,-98.951226",250.0,68492.42
apartment,|México|Distrito Federal|Benito Juárez|,"19.368475,-99.17952",81.0,149629.61
house,|México|Distrito Federal|Xochimilco|Barrio 18|,"19.285891,-99.108269",210.0,85949.19
apartment,|México|Distrito Federal|Benito Juárez|,"19.392302,-99.154385",150.0,222924.2
house,|México|Distrito Federal|Tlalpan|,"19.2925929444,-99.1806221008",96.0,138598.31
house,|México|Querétaro|Corregidora|,"20.5426931,-100.4512523",260.0,122525.12
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0652948,-96.069905",239.0,138334.81
house,|México|Jalisco|Zapopan|,"20.6129,-103.464564",275.0,163328.09
house,|México|Jalisco|Zapopan|,,209.0,118572.7
house,|México|Puebla|San Pedro Cholula|,,140.0,100128.05
apartment,|México|Puebla|San Andrés Cholula|,"18.983398,-98.288951",192.0,121207.64
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.657836,-101.184317",260.0,68492.42
house,|México|Yucatán|Mérida|,"21.03071,-89.618103",126.0,77467.49
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.710472,-101.222626",190.0,63223.78
house,|México|Distrito Federal|Xochimilco|,,340.0,258163.77
house,|México|Estado de México|Naucalpan de Juárez|,"19.476202,-99.261893",230.0,289775.66
house,|México|Chihuahua|Chihuahua|,"28.663404,-106.133102",182.0,326733.66
house,|México|Jalisco|Zapopan|,"20.726262,-103.468575",206.0,168596.74
house,|México|Nuevo León|Monterrey|,,144.0,89316.64
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.137135,-96.112946",125.0,60589.45
house,|México|Estado de México|Atizapán de Zaragoza|Ciudad Adolfo López Mateos|Lomas de Bellavista|,"19.5224623443,-99.2515909641",210.0,202842.96
apartment,|México|Querétaro|Querétaro|,"20.696185,-100.450005",132.0,93781.94
house,|México|Hidalgo|Pachuca de Soto|,"20.092012,-98.741743",116.0,84087.62
house,|México|Baja California|Mexicali|Mexicali|Hacienda del Real|,"32.601212,-115.474838",102.0,33982.78
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.765467,-93.105786",370.0,192305.66
house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",195.0,91632.19
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,225.0,147522.15
apartment,|México|Puebla|Puebla|Puebla (Heroica Puebla)|San Francisco Mayorazgo|,"18.989942,-98.247486",100.0,55847.67
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.898756,-96.998779",130.0,68492.42
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",232.0,125393.83
house,|México|Distrito Federal|Álvaro Obregón|El Rincón|,"19.353288,-99.244721",90.0,136405.3
house,|México|San Luis Potosí|San Luis Potosí|,"22.1385005078,-100.9965722937",168.0,104319.23
house,|México|Sonora|Hermosillo|,"29.083198,-110.993222",162.0,57955.13
house,|México|Puebla|San Andrés Cholula|,"19.044477,-98.328011",165.0,111331.75
house,|México|Distrito Federal|Gustavo A. Madero|,"19.510133,-99.100025",171.0,141199.77
house,|México|Morelos|Cuautla|,"18.850763,-98.943855",168.0,67438.69
house,|México|Nuevo León|San Nicolás de los Garza|,"25.758372724,-100.2713531256",98.0,43213.16
house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",260.0,163328.09
house,|México|Yucatán|Mérida|Dzitya|,,171.0,94256.11
house,|México|Estado de México|Atizapán de Zaragoza|,"19.5562275,-99.2674713",150.0,205526.01
apartment,|México|Distrito Federal|Álvaro Obregón|San Angel|,"19.345528,-99.189906",60.0,46943.65
house,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",300.0,289775.66
house,|México|Puebla|Puebla|El Carmen|,"19.03362,-98.203294",156.0,99577.45
house,|México|Estado de México|Toluca|Metepec|,"19.229864,-99.597954",256.0,184446.42
house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",330.0,171271.67
house,|México|Morelos|Cuernavaca|,"18.936026,-99.216217",220.0,205477.28
house,|México|Tabasco|Nacajuca|,"18.053865,-92.937809",182.0,81664.04
house,|México|Yucatán|Mérida|,"20.9968241,-89.5846761",164.0,62711.78
apartment,|México|Puebla|San Andrés Cholula|,,212.0,282821.04
house,|México|Yucatán|Mérida|,"20.984423,-89.579231",162.0,47417.83
house,|México|Morelos|Cuautla|,"18.864874,-98.925911",120.0,51369.32
house,|México|Distrito Federal|Iztacalco|Agrícola Oriental|,"19.40112,-99.06707",317.0,173906.62
house,|México|Querétaro|Querétaro|,"20.705742,-100.444016",185.0,146995.28
house,|México|Sinaloa|Culiacán|,"24.813503,-107.371574",220.0,184446.42
apartment,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",91.0,101182.03
house,|México|Yucatán|Mérida|,"21.012869,-89.636932",96.0,57705.38
apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1672703,-86.8414848",120.0,163366.83
house,|México|Morelos|Cuernavaca|,"18.948607,-99.243812",180.0,184446.42
house,|México|Morelos|Cuernavaca|,"18.95299,-99.259592",180.0,102738.64
house,|México|Morelos|Jiutepec|,"18.8816687,-99.1632665",90.0,68245.17
house,|México|Yucatán|Progreso|,,130.0,110404.35
house,|México|Querétaro|Querétaro|,"20.5884382058,-100.4006266594",243.0,200208.63
house,|México|Yucatán|Mérida|,"20.9973786,-89.6296213",170.0,38470.25
apartment,|México|Distrito Federal|Álvaro Obregón|Olivar de los Padres|,"19.33923,-99.218987",83.0,147522.15
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.766967,-93.123362",239.0,226551.88
house,|México|Chihuahua|Chihuahua|,"28.631689,-106.102234",200.0,115410.76
house,|México|Querétaro|Querétaro|,"20.58966,-100.366899",335.0,250260.79
house,|México|Querétaro|Querétaro|La Solana|,,280.0,260798.09
house,|México|Morelos|Temixco|,"18.862602,-99.213448",210.0,141990.07
house,|México|Yucatán|Conkal|Conkal|,,148.0,53752.95
apartment,|México|Querétaro|El Marqués|,"20.59808,-100.337153",90.0,57428.26
apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1789333275,-86.8123199791",75.0,34254.33
apartment,|México|Nuevo León|Monterrey|,"25.6689477,-100.3536491",117.0,140741.38
house,|México|Estado de México|Tultitlán|Tultitlán de Mariano Escobedo|La Sardaña|,,165.0,57968.87
house,|México|Guerrero|,"16.862803,-99.894829",147.0,92750.2
apartment,|México|Sinaloa|Mazatlán|,"23.296583,-106.479973",134.0,173865.39
house,|México|Yucatán|Mérida|,"21.0012449,-89.5674103",133.0,76150.02
house,|México|Morelos|Atlatlahucan|Fraccionamiento Lomas de Cocoyoc|,,130.0,150192.08
house,|México|Estado de México|Ixtapaluca|Ixtapaluca|,,90.0,38987.99
house,|México|Estado de México|Cuautitlán Izcalli|Cuautitlán Izcalli|,"19.666832,-99.236992",69.0,44783.51
house,|México|Nuevo León|San Pedro Garza García|,"25.668703,-100.405373",101.0,210795.91
house,|México|Jalisco|Zapopan|,"20.663444,-103.426533",350.0,262115.25
apartment,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|San Lucas Tepetlacalco|,"19.521015,-99.23091",130.0,171231.07
house,|México|Sinaloa|Mazatlán|,"23.286216,-106.427007",180.0,86932.69
house,|México|Estado de México|Huixquilucan|Huixquilucan de Degollado|Rinconada de la Herradura|,"19.422676,-99.257774",200.0,70283.76
house,|México|Estado de México|Cuautitlán Izcalli|,"19.6378074,-99.1995969",254.0,171271.67
house,|México|Hidalgo|Tulancingo de Bravo|,"20.084376,-98.367993",279.0,131716.2
house,|México|Puebla|San Andrés Cholula|,,300.0,226551.88
house,|México|Morelos|Cuautla|Eusebio Jáuregui|,"18.850763,-98.943855",110.0,73234.21
house,|México|Estado de México|Toluca|,"19.300923,-99.713636",73.0,43729.78
apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.444723,-99.186447",70.0,41680.96
house,|México|Distrito Federal|Benito Juárez|,"19.403597,-99.149771",380.0,257531.53
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,250.0,125393.83
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.66869,-101.205173",298.0,168069.88
apartment,|México|Baja California|Tijuana|Tijuana|Nueva Aurora Sur|,"32.486292,-117.054763",63.0,36817.31
house,|México|Hidalgo|San Agustín Tlaxiaca|,,184.0,104319.23
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,245.0,150156.47
apartment,|México|Jalisco|Guadalajara|,"20.705671,-103.396278",180.0,237145.4
house,|México|Guerrero|Acapulco de Juárez|,"16.8583631,-99.8508616",354.0,266975.89
apartment,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1005941575,-96.1070613563",76.0,84298.37
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,114.0,65858.1
apartment,|México|Estado de México|Naucalpan de Juárez|,"19.479437,-99.236561",75.0,105397.95
house,|México|Morelos|Cuernavaca|La Cañada|,"18.981213,-99.206345",240.0,183348.96
house,|México|Querétaro|Querétaro|,"20.624242,-100.390194",172.0,86953.31
apartment,|México|Estado de México|Naucalpan de Juárez|,"19.508253,-99.254997",113.0,153686.47
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.533955,-99.228287",155.0,52159.61
apartment,|México|Distrito Federal|Benito Juárez|,"19.394073,-99.153915",82.0,154987.69
house,|México|Morelos|Jiutepec|,"18.878128,-99.187238",110.0,84298.37
apartment,|México|Querétaro|Querétaro|,"20.5862687746,-100.3786790371",63.0,113302.8
house,|México|Morelos|Cuernavaca|,"18.961286,-99.212621",60.0,34773.07
house,|México|Querétaro|Querétaro|,"20.628052,-100.404541",254.0,147557.13
house,|México|Nuevo León|Monterrey|La Joya Privada Residencial|,,365.0,287209.43
house,|México|Campeche|Carmen|,"18.660893,-91.7663706",264.0,172852.64
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0652948,-96.069905",192.0,126477.54
house,|México|Tamaulipas|Ciudad Madero|,"22.285725,-97.843597",72.0,35988.5
apartment,|México|Distrito Federal|Coyoacán|,"19.305984,-99.127341",70.0,107322.36
house,|México|Distrito Federal|Álvaro Obregón|Los Alpes|,"19.361792,-99.190096",197.0,49999.47
house,|México|San Luis Potosí|Soledad de Graciano Sánchez|,"22.1877626295,-100.962767601",105.0,50517.24
house,|México|Morelos|Jojutla|,,208.0,239780.35
apartment,|México|Querétaro|Querétaro|,"20.726007,-100.442642",105.0,93856.88
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.417636,-99.153292",70.0,41095.45
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.570101,-96.918228",140.0,42623.36
house,|México|Morelos|Yautepec|,"18.885313,-99.062879",97.0,50052.15
apartment,|México|Distrito Federal|Álvaro Obregón|,,250.0,237089.17
apartment,|México|San Luis Potosí|San Luis Potosí|,"22.148722,-101.00119",129.0,92750.2
house,|México|Puebla|Puebla|,"18.985688,-98.230121",73.0,37670.83
apartment,|México|Estado de México|Naucalpan de Juárez|,"19.427053,-99.256293",100.0,313695.32
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446256,-99.147767",68.0,49051.11
house,|México|Nayarit|Xalisco|,"21.4581695,-104.8877876",220.0,165172.12
apartment,|México|Distrito Federal|Álvaro Obregón|Torres de Potrero|,"19.333974,-99.240363",70.0,121178.91
apartment,|México|Estado de México|Huixquilucan|,"19.379597,-99.293808",155.0,226551.88
house,|México|San Luis Potosí|San Luis Potosí|,"22.139618,-101.032422",354.0,208111.61
house,|México|Estado de México|Atizapán de Zaragoza|,"19.552184,-99.251489",80.0,127880.63
apartment,|México|Querétaro|Corregidora|,"20.5365909,-100.4411011",80.0,44794.13
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.445032,-99.140207",133.0,59426.13
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.54235,-99.19195",192.0,125920.69
apartment,|México|Distrito Federal|Álvaro Obregón|Alfonso XIII|,"19.377404,-99.193301",80.0,91411.04
apartment,|México|Guerrero|Acapulco de Juárez|Acapulco de Juárez|Lomas de Costa Azul|,"16.858816,-99.857628",185.0,157917.19
house,|México|Sinaloa|Mazatlán|,"23.231522,-106.382439",211.0,81137.18
house,|México|Yucatán|Mérida|,"21.006756,-89.570984",250.0,105397.95
apartment,|México|Guerrero|Acapulco de Juárez|,"16.850374,-99.850166",145.0,81664.04
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,180.0,105397.95
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.141083,-94.458733",180.0,110667.85
house,|México|Puebla|Puebla|,"18.989918,-98.2295",299.0,231820.52
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.540674,-103.393252",140.0,47417.83
house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",240.0,138058.14
apartment,|México|Distrito Federal|Coyoacán|,"19.336697,-99.152534",102.0,187081.37
house,|México|Tabasco|Centro|,,150.0,97469.99
house,|México|Querétaro|Querétaro|,"20.697427,-100.444385",187.0,134350.53
apartment,|México|Distrito Federal|Miguel Hidalgo|Santo Tomas|,"19.451872,-99.173522",70.0,66911.83
house,|México|Estado de México|Toluca|Metepec|,"19.262129,-99.602481",239.0,132769.93
apartment,|México|Distrito Federal|Tlalpan|,"19.2790911,-99.2114234",72.0,40645.77
house,|México|Jalisco|Puerto Vallarta|,"20.647398,-105.209682",84.0,65858.1
house,|México|Tabasco|,"23.634501,-102.552788",151.0,237145.4
house,|México|Querétaro|Querétaro|,"20.5887932,-100.3898881",177.0,115937.75
apartment,|México|Puebla|San Andrés Cholula|,"19.028651,-98.258029",116.0,171231.07
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,150.0,89040.15
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,289.0,129112.49
apartment,|México|Distrito Federal|Azcapotzalco|San Juan Tlihuaca|,"19.493713,-99.204941",60.0,38812.39
house,|México|Yucatán|Mérida|,,136.0,72302.99
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.11819,-96.107956",181.0,129112.49
house,|México|Nuevo León|Monterrey|,,220.0,263432.41
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.147928788,-94.4772926867",175.0,115937.75
house,|México|Estado de México|Naucalpan de Juárez|,"19.4907003,-99.2553635",370.0,316193.86
apartment,|México|Nuevo León|Monterrey|,"25.672309,-100.374119",73.0,106110.57
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.542509,-99.218987",220.0,150156.47
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.671952,-101.175638",235.0,171231.07
house,|México|Colima|Villa de Álvarez|Ciudad de Villa de Álvarez|Carlos de La Madrid|,"19.297108,-103.737602",176.0,62170.05
house,|México|Baja California|Tijuana|Tijuana|Las 2 Palmas|,"32.421957,-117.033513",170.0,95499.52
house,|México|Morelos|Temixco|,"18.855343,-99.241142",73.0,36783.88
house,|México|Morelos|Cuernavaca|,"18.939657,-99.20237",185.0,189716.32
house,|México|Distrito Federal|Álvaro Obregón|Flor de Maria|,"19.345431,-99.209949",200.0,228450.07
house,|México|Nuevo León|San Pedro Garza García|,"25.660103,-100.410858",127.0,131747.44
house,|México|Colima|Villa de Álvarez|,,90.0,41095.45
house,|México|Estado de México|Atizapán de Zaragoza|,"19.564925,-99.218415",110.0,143834.1
